timestamp,open,high,low,close,volume
2020-06-05,2444.5100,2488.6400,2437.1300,2483.0000,3239926
2020-06-04,2477.4300,2507.5400,2450.0100,2460.6000,2948710
2020-06-03,2468.0100,2488.0000,2461.1700,2478.4000,2671024
2020-06-02,2467.0000,2473.5300,2445.3100,2472.4100,2529903
2020-06-01,2448.0000,2476.9300,2444.1700,2471.0400,2938032
2020-05-29,2415.9400,2442.3700,2398.2000,2442.3700,3529329
2020-05-28,2384.3300,2436.9700,2378.2300,2401.1000,3193136
2020-05-27,2404.9900,2413.5800,2330.0000,2410.3900,5056945
2020-05-26,2458.0000,2462.0000,2414.0600,2421.8600,3568153
2020-05-22,2455.0100,2469.8500,2430.1300,2436.8800,2867079
2020-05-21,2500.0000,2525.4500,2442.5400,2446.7400,5114403
2020-05-20,2477.8700,2500.0100,2467.2700,2497.9400,3998143
2020-05-19,2429.8300,2484.9900,2428.9700,2449.3300,4320498
2020-05-18,2402.4800,2433.0000,2384.0100,2426.2600,4366572
2020-05-15,2368.5200,2411.0000,2356.3700,2409.7800,4234951
2020-05-14,2361.0100,2391.3700,2353.2100,2388.8500,3648128
2020-05-13,2366.8000,2407.7000,2337.8000,2367.9200,4782919
2020-05-12,2411.8500,2419.0000,2355.0000,2356.9500,3074916
2020-05-11,2374.7000,2419.6600,2372.1100,2409.0000,3259231
2020-05-08,2372.1400,2387.2400,2357.0000,2379.6100,3211228
2020-05-07,2374.7800,2376.0000,2343.1100,2367.6100,3396411
2020-05-06,2329.4400,2357.4500,2320.0000,2351.2600,3117814
2020-05-05,2340.0000,2351.0000,2307.1300,2317.8000,3242496
2020-05-04,2256.3800,2326.9800,2256.3800,2315.9900,4865926
2020-05-01,2336.8000,2362.4400,2258.1900,2286.0400,9772605
2020-04-30,2419.8400,2475.0000,2396.0100,2474.0000,9534611
2020-04-29,2330.0100,2391.8900,2310.0000,2372.7100,4591593
2020-04-28,2372.1000,2373.5000,2306.0000,2314.0800,5269446
2020-04-27,2443.2000,2444.8800,2363.0000,2376.0000,5645645
2020-04-24,2417.0000,2420.4300,2382.0000,2410.2200,3831797
2020-04-23,2399.9800,2424.2200,2382.0800,2399.4500,5066552
2020-04-22,2369.0000,2394.0000,2351.0000,2363.4900,4218295
2020-04-21,2416.6100,2428.3100,2279.6600,2328.1200,7476679
2020-04-20,2389.9500,2444.9800,2386.0500,2393.6100,5770694
2020-04-17,2372.3300,2400.0000,2316.0200,2375.0000,7930010
2020-04-16,2346.0000,2461.0000,2335.0000,2408.1900,12038201
2020-04-15,2257.6800,2333.3700,2245.0000,2307.6800,6866567
